cse-232,1,21,Lab 01,3:00 PM
cse-232,1,21,Week 00 and Week 01 videos,3:00 PM
iah-221,1,22,The Lex Oppia and Idealizing the Past,11:59 PM
mi-301,1,30,Quiz 1,11:59 PM
isb-201,1,13,Tragedy of the Commons Video Quiz,10:00 AM
isb-201,1,13,Can We Put A Pricetag on Nature's Services Quiz,10:00 AM
isb-201,1,13,Biosphere II and Footprint and Biocapacity,10:00 AM
iah-221,1,15,Syllabus Quiz,11:59 PM
